epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.251,0.60238,0.98082,1.09847,0.82704,0.78145,0.8534,0.7743,0.43695,0.73877,1.01414,1.63017e-05,1.63017e-05,1.63017e-05
2,559.505,0.60035,0.94097,1.10344,0.79723,0.76978,0.84329,0.75768,0.45924,0.80509,1.04385,3.10196e-05,3.10196e-05,3.10196e-05
3,828.109,0.60904,0.97929,1.10524,0.77859,0.75981,0.83253,0.74261,0.473,0.84691,1.05785,4.41205e-05,4.41205e-05,4.41205e-05
4,1095.2,0.61354,0.9985,1.10843,0.78565,0.77007,0.83553,0.74827,0.46426,0.82122,1.04538,4.17235e-05,4.17235e-05,4.17235e-05
5,1362.21,0.60401,0.95159,1.1022,0.79482,0.78325,0.83988,0.75178,0.47424,0.80042,1.04648,3.9298e-05,3.9298e-05,3.9298e-05
6,1629.29,0.59494,0.91488,1.09654,0.8037,0.76723,0.83881,0.74892,0.47355,0.80586,1.04609,3.68725e-05,3.68725e-05,3.68725e-05
7,1896.8,0.59153,0.87834,1.09548,0.80957,0.78506,0.8466,0.76147,0.45866,0.79221,1.04271,3.4447e-05,3.4447e-05,3.4447e-05
8,2166.01,0.58884,0.86156,1.09169,0.80881,0.77938,0.84689,0.76402,0.45706,0.78821,1.03599,3.20215e-05,3.20215e-05,3.20215e-05
9,2435.46,0.56562,0.80977,1.07602,0.81398,0.79219,0.85235,0.77333,0.44283,0.7268,1.02664,2.9596e-05,2.9596e-05,2.9596e-05
10,2704.68,0.55951,0.76963,1.07537,0.79466,0.81413,0.85745,0.77436,0.45184,0.73134,1.03168,2.71705e-05,2.71705e-05,2.71705e-05
11,2973.75,0.37954,0.35615,0.94932,0.77189,0.80889,0.8442,0.76127,0.45108,0.7826,1.03496,2.4745e-05,2.4745e-05,2.4745e-05
12,3241.87,0.37138,0.32588,0.94463,0.79935,0.7892,0.84465,0.76115,0.44938,0.76997,1.03484,2.23195e-05,2.23195e-05,2.23195e-05
13,3509.46,0.36214,0.30258,0.93329,0.79617,0.80559,0.85231,0.77299,0.44362,0.76275,1.02475,1.9894e-05,1.9894e-05,1.9894e-05
14,3776.87,0.35407,0.28772,0.92533,0.80306,0.80888,0.85237,0.77472,0.43988,0.73695,1.02331,1.74685e-05,1.74685e-05,1.74685e-05
15,4044.51,0.35153,0.26432,0.91967,0.81413,0.81313,0.85873,0.77711,0.44476,0.7412,1.03604,1.5043e-05,1.5043e-05,1.5043e-05
16,4312.18,0.34044,0.2491,0.91508,0.82217,0.81755,0.86269,0.78455,0.43733,0.72511,1.02433,1.26175e-05,1.26175e-05,1.26175e-05
17,4579.75,0.33927,0.23771,0.91158,0.82028,0.80955,0.86184,0.78554,0.43679,0.72754,1.02332,1.0192e-05,1.0192e-05,1.0192e-05
18,4847.29,0.33049,0.22437,0.906,0.82193,0.82223,0.86392,0.78813,0.43529,0.7107,1.02321,7.7665e-06,7.7665e-06,7.7665e-06
19,5114.96,0.32245,0.21074,0.90065,0.82121,0.82271,0.86213,0.78774,0.43282,0.70529,1.02462,5.341e-06,5.341e-06,5.341e-06
20,5382.36,0.31848,0.20434,0.89485,0.83629,0.81318,0.86435,0.78962,0.42941,0.70023,1.01926,2.9155e-06,2.9155e-06,2.9155e-06
